no,hanzi,kor_hanja,hangul,romanization,chinese,chinese_pinyin,english,japanese,japanese_romanization,vietnamese,vietnamese_romanization,hakka_sixian_hanzi,hakka_sixian,hakka_sixian_display,hakka_sixian_match_type
195,操作,操作,조작,jo jak,操作,cāo zuò,operate,操作,sousa,tác,tac,操作,chhâu-chok,cauˊ zogˋ,exact
196,书店,書店,서점,seo jeom,书店,shū diàn,bookstore,書店,shoten,thư điếm,thu diem,書店,sû-tiam,suˊ diam,exact
197,计算,計算,계산,gye san,计算,jì suàn,calculate,計算,keisan,kể toán,ke toan,計算,kie-son,gie son,exact
198,地球,地球,지구,ji gu,地球,dì qiú,earth,地球,chikyuu,địa cầu,dia cau,地球,thi-khiù,ti kiuˇ,exact
199,责任,責任,책임,chaek im,责任,zé rèn,responsibility,責任,sekinin,trách nhậm,trach nham,責任,chit-yim,jidˋ im,exact
200,目标,目標,목표,mok pyo,目标,mù biāo,target,目標,mokuhyou,mục bêu,muc beu,目標,muk-phêu,mugˋ peuˊ,exact
201,左右,左右,좌우,jwa u,左右,zuǒ yòu,about,左右,sayuu,tả hữu,ta huu,左右,chó-yu,zoˋ iu,exact
202,政府,政府,정부,jeong bu,政府,zhèng fǔ,government,政府,seifu,chính phủ,chinh phu,政府,chṳn-fú,ziin fuˋ,exact
203,配合,配合,배합,bae hap,配合,pèi hé,cooperate,配合,haigou,phối hợp,phoi hop,配合,phi-ha̍p,pi hab,exact
204,行动,行動,행동,haeng dong,行动,xíng dòng,action,行動,koudou,hàng động,hang dong,行動,hàng-thung,hangˇ tung,exact
205,国民,國民,국민,guk min,国民,guó mín,national,国民,kokumin,quốc dân,quoc dan,國民,,,missing
206,文学,文學,문학,mun hak,文学,wén xué,literature,文学,bungaku,văn học,van hoc,文學,vùn-ho̍k,vunˇ hog,exact
207,感动,感動,감동,gam dong,感动,gǎn dòng,move,感動,kandou,cảm động,cam dong,感動,kám-thung,gamˋ tung,exact
208,新鲜,新鮮,신선,sin seon,新鲜,xīn xiān,fresh,新鮮,shinsen,tân tiên,tan tien,新鮮,sîn-siên,xinˊ xienˊ,exact
209,地下,地下,지하,ji ha,地下,dì xià,underground,地下,chika,địa hạ,dia ha,地下,thi-há,ti haˋ,char_composed
210,形式,形式,형식,hyeong sik,形式,xíng shì,form,形式,keishiki,hình thức,hinh thuc,形式,hìn-sṳt,hinˇ siidˋ,exact
211,公开,公開,공개,gong gae,公开,gōng kāi,public,公開,koukai,công khai,cong khai,公開,kûng-khôi,gungˊ koiˊ,exact
212,事故,事故,사고,sa go,事故,shì gù,accident,事故,jiko,sự cố,su co,事故,sṳ-ku,sii gu,exact
213,积极,積極,적극,jeok geuk,积极,jī jí,positive,積極,sekkyoku,tích cực,tich cuc,積極,,,missing
214,制作,製作,제작,je jak,制作,zhì zuò,make,製作,seisaku,chế tác,che tac,製作,chṳ-chok,zii zogˋ,char_composed
215,天然,天然,천연,cheon yeon,天然,tiān rán,natural,天然,tennen,thiên nhiên,thien nhien,天然,thiên-yèn,tienˊ ienˇ,exact
216,移动,移動,이동,i dong,移动,yí dòng,move,移動,idou,dời động,doi dong,移動,yì-thûng,iˇ tungˊ,char_composed
217,动物,動物,동물,dong mul,动物,dòng wù,animal,動物,doubutsu,động vật,dong vat,動物,thung-vu̍t,tung vud,exact
218,不足,不足,부족,bu jok,不足,bù zú,insufficient,不足,fusoku,bất túc,bat tuc,不足,put-chiuk,budˋ jiugˋ,exact
219,科学,科學,과학,gwa hak,科学,kē xué,science,科学,kagaku,khoa học,khoa hoc,科學,khô-ho̍k,koˊ hog,exact
220,太阳,太陽,태양,tae yang,太阳,tài yáng,sun,太陽,taiyou,thái dương,thai duong,太陽,,,missing
221,燃料,燃料,연료,yeon ryo,燃料,rán liào,fuel,燃料,nenryou,nhen liệu,nhen lieu,燃料,,,missing
222,工夫,工夫,공부,gong bu,工夫,gōng fu,time,工夫,kufuu,công phu,cong phu,工夫,kûng-fû,gungˊ fuˊ,exact
223,数字,數字,숫자,sut ja,数字,shù zì,number,数字,suuji,số tự,so tu,數字,sṳ-sṳ,sii sii,char_composed
224,工业,工業,공업,gong eop,工业,gōng yè,industry,工業,kougyou,công nghiệp,cong nghiep,工業,kûng-ngia̍p,gungˊ ngiab,exact
225,参考,參考,참고,cham go,参考,cān kǎo,refer to,参考,sankou,tham khảo,tham khao,參考,chhâm-kháu,camˊ kauˋ,exact
226,性格,性格,성격,seong gyeok,性格,xìng gé,character,性格,seikaku,tính cách,tinh cach,性格,sin-kiet,xin giedˋ,exact
227,实行,實行,실행,sil haeng,实行,shí xíng,implement,実行,jikkou,thực hàng,thuc hang,實行,sṳ̍t-hen,siid hen,char_composed
228,速度,速度,속도,sok do,速度,sù dù,speed,速度,sokudo,tốc độ,toc do,速度,suk-thu,sugˋ tu,exact
229,努力,努力,노력,no ryeok,努力,nǔ lì,effort,努力,doryoku,lực,luc,努力,nú-li̍t,nuˋ lid,exact
230,理想,理想,이상,i sang,理想,lǐ xiǎng,ideal,理想,risou,lí tưởng,li tuong,理想,lî-sióng,liˊ xiongˋ,exact
231,机会,機會,기회,gi hoe,机会,jī huì,chance,機会,kikai,cơ hội,co hoi,機會,kî-fi,giˊ fi,exact
232,出发,出發,출발,chul bal,出发,chū fā,set off,出発,shuppatsu,xuất phát,xuat phat,出發,chhut-fat,cudˋ fadˋ,exact
233,植物,植物,식물,sik mul,植物,zhí wù,plant,植物,shokubutsu,thực vật,thuc vat,植物,chhṳ̍t-vu̍t,ciid vud,exact
234,豆腐,豆腐,두부,du bu,豆腐,dòu fǔ,tofu,豆腐,toufu,đậu hủ,dau hu,豆腐,theu-fu,teu fu,exact
235,记录,記錄,기록,gi rok,记录,jì lù,record,記録,kiroku,kí,ki,記錄,,,missing
236,详细,詳細,상세,sang se,详细,xiáng xì,detailed,詳細,shousai,tường tới,tuong toi,詳細,siòng-se,xiongˇ se,exact
237,政权,政權,정권,jeong gwon,政权,zhèng quán,regime,政権,seiken,chính quyền,chinh quyen,政權,,,missing
238,风景,風景,풍경,pung gyeong,风景,fēng jǐng,landscape,風景,fuukei,phong cảnh,phong canh,風景,fûng-kín,fungˊ ginˋ,exact
239,报告,報告,보고,bo go,报告,bào gào,report,報告,houkoku,báo,bao,報告,po-ko,bo go,exact
240,建筑,建築,건축,geon chuk,建筑,jiàn zhù,architecture,建築,kenchiku,kiến trốc,kien troc,建築,kien-chuk,gien zugˋ,exact
241,判断,判斷,판단,pan dan,判断,pàn duàn,judge,判断,handan,phán,phan,判斷,phan-ton,pan don,exact
242,反对,反對,반대,ban dae,反对,fǎn duì,be opposed to,反対,hantai,phản đỗi,phan doi,反對,fán-tui,fanˋ dui,exact
243,业务,業務,업무,eop mu,业务,yè wù,business,業務,gyoumu,nghiệp vụ,nghiep vu,業務,ngia̍p-vu,ngiab vu,char_composed
244,自己,自己,자기,ja gi,自己,zì jǐ,own,自己,jiko,tự kỉ,tu ki,自己,chhṳ-kí,cii giˋ,char_composed
245,少女,少女,소녀,so nyeo,少女,shào nǚ,girl,少女,shoujo,thiểu nữa,thieu nua,少女,séu-ńg,seuˋ ngˋ,char_composed
246,知识,知識,지식,ji sik,知识,zhī shí,knowledge,知識,chishiki,tri,tri,知識,chṳ̂-sṳt,ziiˊ siidˋ,exact
247,土地,土地,토지,to ji,土地,tǔ dì,land,土地,tochi,thổ địa,tho dia,土地,thú-thi,tuˋ ti,exact
248,保护,保護,보호,bo ho,保护,bǎo hù,protect,保護,hogo,bảo hộ,bao ho,保護,pó-fu,boˋ fu,exact
249,医疗,醫療,의료,ui ryo,医疗,yī liáo,medical,医療,iryou,y liệu,y lieu,醫療,,,missing
250,确实,確實,확실,hwak sil,确实,què shí,really,確実,kakujitsu,xác thực,xac thuc,確實,khok-sṳ̍t,kogˋ siid,exact
251,设备,設備,설비,seol bi,设备,shè bèi,equipment,設備,setsubi,thết bị,thet bi,設備,sat-phi,sadˋ pi,exact
252,基础,基礎,기초,gi cho,基础,jī chǔ,base,基礎,kiso,cơ sờ,co so,基礎,kî-chhú,giˊ cuˋ,exact
253,宇宙,宇宙,우주,u ju,宇宙,yǔ zhòu,universe,宇宙,uchuu,vũ trụ,vu tru,宇宙,yí-chhiu,iˋ qiu,exact
254,高原,高原,고원,go won,高原,gāo yuán,plateau,高原,kougen,cao nguyên,cao nguyen,高原,kô-ngièn,goˊ ngienˇ,char_composed
255,制度,制度,제도,je do,制度,zhì dù,system,制度,seido,chế độ,che do,制度,chṳ-thu,zii tu,exact
256,本来,本來,본래,bon rae,本来,běn lái,originally,本来,honrai,bản lai,ban lai,本來,pún-lòi,bunˋ loiˇ,exact
257,姿势,姿勢,자세,ja se,姿势,zī shì,posture,姿勢,shisei,tư thế,tu the,姿勢,chṳ̂-sṳ,ziiˊ sii,exact
258,固定,固定,고정,go jeong,固定,gù dìng,fixed,固定,kotei,cố định,co dinh,固定,ku-thin,gu tin,exact
259,团体,團體,단체,dan che,团体,tuán tǐ,group,団体,dantai,đoàn thể,doan the,團體,thòn-thí,tonˇ tiˋ,exact
260,加工,加工,가공,ga gong,加工,jiā gōng,processing,加工,kakou,gia công,gia cong,加工,kâ-kûng,gaˊ gungˊ,exact
261,金属,金屬,금속,geum sok,金属,jīn shǔ,metal,金属,kinzoku,kim thuộc,kim thuoc,金屬,,,missing
262,教授,敎授,교수,gyo su,教授,jiào shòu,professor,教授,kyouju,thụ,thu,教授,kau-su,gau su,exact
263,空气,空氣,공기,gong gi,空气,kōng qì,air,空気,kuuki,không khí,khong khi,空氣,khûng-hi,kungˊ hi,exact
264,手术,手術,수술,su sul,手术,shǒu shù,operation,手術,shujutsu,thủ thuật,thu thuat,手術,sú-su̍t,suˋ sud,exact
265,突然,突然,돌연,dol yeon,突然,tū rán,sudden,突然,totsuzen,đột nhiên,dot nhien,突然,thut-yèn,tudˋ ienˇ,char_composed
266,思想,思想,사상,sa sang,思想,sī xiǎng,thought,思想,shisou,tư tưởng,tu tuong,思想,sṳ̂-sióng,siiˊ xiongˋ,exact
267,神经,神經,신경,sin gyeong,神经,shén jīng,nerve,神経,shinkei,thần kinh,than kinh,神經,sṳ̀n-kîn,siinˇ ginˊ,exact
268,男子,男子,남자,nam ja,男子,nán zi,man,男子,danshi,nam tí,nam ti,男子,nàm-chṳ́,namˇ ziiˋ,exact
269,发生,發生,발생,bal saeng,发生,fā shēng,occur,発生,hassei,phát sinh,phat sinh,發生,fat-sên,fadˋ senˊ,exact
270,面积,面積,면적,myeon jeok,面积,miàn jī,area,面積,menseki,tích,tich,面積,mien-chit,mien jidˋ,exact
271,机关,機關,기관,gi gwan,机关,jī guān,organ,機関,kikan,cơ quan,co quan,機關,kî-koân,giˊ guanˊ,exact
272,作用,作用,작용,jak yong,作用,zuò yòng,effect,作用,sayou,tác dụng,tac dung,作用,chok-yung,zogˋ iung,exact
273,失败,失敗,실패,sil pae,失败,shī bài,fail,失敗,shippai,thất bại,that bai,失敗,sṳt-phai,siidˋ pai,exact
274,成绩,成績,성적,seong jeok,成绩,chéng jì,score,成績,seiseki,thành tích,thanh tich,成績,sṳ̀n-chit,siinˇ jidˋ,exact
275,主要,主要,주요,ju yo,主要,zhǔ yào,main,主要,shuyou,chúa yếu,chua yeu,主要,chú-yeu,zuˋ ieu,exact
276,发挥,發揮,발휘,bal hwi,发挥,fā huī,play,発揮,hakki,phát huy,phat huy,發揮,fat-fî,fadˋ fiˊ,exact
277,独立,獨立,독립,dok rip,独立,dú lì,independent,独立,dokuritsu,độc lập,doc lap,獨立,thu̍k-li̍p,tug lib,exact
278,表面,表面,표면,pyo myeon,表面,biǎo miàn,surface,表面,hyoumen,biểu,bieu,表面,péu-mien,beuˋ mien,exact
279,关心,關心,관심,gwan sim,关心,guān xīn,care,関心,kanshin,quan tâm,quan tam,關心,koân-sîm,guanˊ ximˊ,exact
280,内部,內部,내부,nae bu,内部,nèi bù,internal,内部,naibu,bộ,bo,內部,nui-phu,nui pu,exact
281,反应,反應,반응,ban eung,反应,fǎn yìng,reaction,反応,hannou,phản ứng,phan ung,反應,fán-yin,fanˋ in,exact
282,品质,品質,품질,pum jil,品质,pǐn zhì,quality,品質,hinshitsu,phẩm chất,pham chat,品質,phín-chṳt,pinˋ ziidˋ,exact
283,制造,製造,제조,je jo,制造,zhì zào,manufacture,製造,seizou,chế tạo,che tao,製造,chṳ-chho,zii co,exact
284,相当,相當,상당,sang dang,相当,xiāng dāng,quite,相当,soutou,tương đương,tuong duong,相當,siông-tông,xiongˊ dongˊ,exact
285,家具,家具,가구,ga gu,家具,jiā jù,furniture,家具,kagu,gia cụ,gia cu,家具,kâ-khí,gaˊ kiˋ,exact
286,主张,主張,주장,ju jang,主张,zhǔ zhāng,advocate,主張,shuchou,chúa trương,chua truong,主張,chú-chông,zuˋ zongˊ,exact
287,近代,近代,근대,geun dae,近代,jìn dài,modern times,近代,kindai,cận đại,can dai,近代,khiun-thoi,kiun toi,exact
288,体育,體育,체육,che yuk,体育,tǐ yù,physical education,体育,taiiku,thể dục,the duc,體育,thí-yuk,tiˋ iugˋ,exact
289,疑问,疑問,의문,ui mun,疑问,yí wèn,doubt,疑問,gimon,,,疑問,ngì-mun,ngiˇ mun,exact
290,教室,敎室,교실,gyo sil,教室,jiào shì,classroom,教室,kyoushitsu,thất,that,教室,kau-sṳt,gau siidˋ,exact
291,身体,身體,신체,sin che,身体,shēn tǐ,body,身体,shintai,thân thể,than the,身體,sṳ̂n-thí,siinˊ tiˋ,exact
292,特殊,特殊,특수,teuk su,特殊,tè shū,special,特殊,tokushu,đặc thùa,dac thua,特殊,thi̍t-sû,tid suˊ,exact
293,吸收,吸收,흡수,heup su,吸收,xī shōu,absorb,吸収,kyuushuu,cộp thu,cop thu,吸收,khip-sû,kibˋ suˊ,exact
294,建设,建設,건설,geon seol,建设,jiàn shè,construction,建設,kensetsu,kiến thết,kien thet,建設,kien-sat,gien sadˋ,exact
295,正确,正確,정확,jeong hwak,正确,zhèng què,correct,正確,seikaku,chính xác,chinh xac,正確,chṳn-khok,ziin kogˋ,char_composed
296,证明,證明,증명,jeung myeong,证明,zhèng míng,prove,証明,shoumei,chứng minh,chung minh,證明,chṳn-mìn,ziin minˇ,exact
297,背景,背景,배경,bae gyeong,背景,bèi jǐng,background,背景,haikei,bối cảnh,boi canh,背景,poi-kín,boi ginˋ,exact
298,维持,維持,유지,yu ji,维持,wéi chí,maintain,維持,iji,trì,tri,維持,vì-chhṳ̀,viˇ ciiˇ,exact
299,扩大,擴大,확대,hwak dae,扩大,kuò dà,expand,拡大,kakudai,quẳng đại,quang dai,擴大,,,missing
300,欢迎,歡迎,환영,hwan yeong,欢迎,huān yíng,welcome,歓迎,kangei,hoan nghênh,hoan nghenh,歡迎,fôn-ngiàng,fonˊ ngiangˇ,exact
301,记者,記者,기자,gi ja,记者,jì zhě,reporter,記者,kisha,kí,ki,記者,ki-chá,gi zaˋ,exact
302,共同,共同,공동,gong dong,共同,gòng tóng,common,共同,kyoudou,cộng đồng,cong dong,共同,,,missing
303,实验,實驗,실험,sil heom,实验,shí yàn,experiment,実験,jikken,thực nghiệm,thuc nghiem,實驗,sṳ̍t-ngiam,siid ngiam,exact
304,重视,重視,중시,jung si,重视,zhòng shì,pay attention to,重視,juushi,trọng thị,trong thi,重視,chhung-sṳ,cung sii,exact
305,分析,分析,분석,bun seok,分析,fēn xī,analyze,分析,bunseki,phân,phan,分析,fûn-sit,funˊ xidˋ,exact
306,帽子,帽子,모자,mo ja,帽子,mào zi,hat,帽子,boushi,mão tí,mao ti,帽子,mo-chṳ́,mo ziiˋ,char_composed
307,医学,醫學,의학,ui hak,医学,yī xué,medicine,医学,igaku,y học,y hoc,醫學,yî-ho̍k,iˊ hog,exact
308,加入,加入,가입,ga ip,加入,jiā rù,join in,加入,kanyuu,gia nhập,gia nhap,加入,kâ-ngi̍p,gaˊ ngib,exact
309,解决,解決,해결,hae gyeol,解决,jiě jué,solve,解決,kaiketsu,giải quyết,giai quyet,解決,kié-kiet,gieˋ giedˋ,exact
310,追求,追求,추구,chu gu,追求,zhuī qiú,pursue,追求,tsuikyuu,truy cầu,truy cau,追求,tûi-khiù,duiˊ kiuˇ,char_composed
311,透明,透明,투명,tu myeong,透明,tòu míng,transparent,透明,toumei,thấu minh,thau minh,透明,theu-mìn,teu minˇ,char_composed
312,国家,國家,국가,guk ga,国家,guó jiā,nation,国家,kokka,quốc gia,quoc gia,國家,koet-kâ,guedˋ gaˊ,exact
313,多少,多少,다소,da so,多少,duō shǎo,how many,多少,tashou,đa thiểu,da thieu,多少,tô-séu,doˊ seuˋ,char_composed
314,批判,批判,비판,bi pan,批判,pī pàn,criticism,批判,hihan,phê phán,phe phan,批判,phî-phan,piˊ pan,exact
315,皮肤,皮膚,피부,pi bu,皮肤,pí fū,skin,皮膚,hifu,bì,bi,皮膚,phì-fû,piˇ fuˊ,exact
316,优秀,優秀,우수,u su,优秀,yōu xiù,excellent,優秀,yuushuu,tú,tu,優秀,yû-siu,iuˊ xiu,exact
317,椅子,椅子,의자,ui ja,椅子,yǐ zi,chair,椅子,isu,tí,ti,椅子,yí-chṳ́,iˋ ziiˋ,char_composed
318,作战,作戰,작전,jak jeon,作战,zuò zhàn,combat,作戦,sakusen,tác chiến,tac chien,作戰,chok-chan,zogˋ zan,exact
319,单位,單位,단위,dan wi,单位,dān wèi,unit,単位,tan'i,đơn vị,don vi,單位,tân-vi,danˊ vi,exact
320,要求,要求,요구,yo gu,要求,yāo qiú,require,要求,youkyuu,yếu cầu,yeu cau,要求,yêu-khiù,ieuˊ kiuˇ,exact
321,改革,改革,개혁,gae hyeok,改革,gǎi gé,reform,改革,kaikaku,,,改革,kói-kiet,goiˋ giedˋ,exact
322,改善,改善,개선,gae seon,改善,gǎi shàn,improve,改善,kaizen,thiện,thien,改善,kói-san,goiˋ san,exact
323,初期,初期,초기,cho gi,初期,chū qī,early stage,初期,shoki,sơ kì,so ki,初期,chhû-khì,cuˊ kiˇ,char_composed
324,水分,水分,수분,su bun,水分,shuǐ fèn,moisture,水分,suibun,thuỷ phân,thuy phan,水分,súi-fûn/(又讀)súi-fun,suiˋ funˊ/(又讀)suiˋ fun,exact
325,天体,天體,천체,cheon che,天体,tiān tǐ,celestial body,天体,tentai,thiên thể,thien the,天體,thiên-thí,tienˊ tiˋ,char_composed
326,秘密,秘密,비밀,bi mil,秘密,mì mì,secret,秘密,himitsu,mật,mat,秘密,,,missing
327,开放,開放,개방,gae bang,开放,kāi fàng,open,開放,kaihou,khai phóng,khai phong,開放,khôi-fong,koiˊ fong,exact
328,学习,學習,학습,hak seup,学习,xué xí,study,学習,gakushuu,học tập,hoc tap,學習,ho̍k-si̍p,hog xib,exact
329,感情,感情,감정,gam jeong,感情,gǎn qíng,emotion,感情,kanjou,cảm tình,cam tinh,感情,kám-chhìn,gamˋ qinˇ,exact
330,事情,事情,사정,sa jeong,事情,shì qíng,matter,事情,jijou,sự tình,su tinh,事情,sṳ-chhìn,sii qinˇ,exact
331,出身,出身,출신,chul sin,出身,chū shēn,origin,出身,shusshin,xuất thân,xuat than,出身,chhut-sṳ̂n,cudˋ siinˊ,exact
332,劳动,勞動,노동,no dong,劳动,láo dòng,labor,労働,roudou,lao động,lao dong,勞動,lò-thung,loˇ tung,exact
333,危险,危險,위험,wi heom,危险,wēi xiǎn,danger,危険,kiken,nguy hiểm,nguy hiem,危險,ngùi-hiám,nguiˇ hiamˋ,exact
334,血液,血液,혈액,hyeol aek,血液,xuè yè,blood,血液,ketsueki,huyết giá,huyet gia,血液,hiet-yè,hiedˋ ieˇ,char_composed
335,一定,一定,일정,il jeong,一定,yí dìng,must,一定,ittei,nhất định,nhat dinh,一定,yit-thin,idˋ tin,exact
336,细胞,細胞,세포,se po,细胞,xì bāo,cell,細胞,saibou,tới bào,toi bao,細胞,se-pâu,se bauˊ,char_composed
337,原则,原則,원칙,won chik,原则,yuán zé,in principle,原則,gensoku,nguyên tắc,nguyen tac,原則,ngièn-chet,ngienˇ zedˋ,exact
338,习惯,習慣,습관,seup gwan,习惯,xí guàn,habit,習慣,shuukan,tập quen,tap quen,習慣,si̍p-koan,xib guan,exact
339,地图,地圖,지도,ji do,地图,dì tú,map,地図,chizu,địa đồ,dia do,地圖,thi-thù,ti tuˇ,exact
340,一生,一生,일생,il saeng,一生,yī shēng,lifetime,一生,isshou,nhất sinh,nhat sinh,一生,yit-sên,idˋ senˊ,char_composed
341,感谢,感謝,감사,gam sa,感谢,gǎn xiè,grateful,感謝,kansha,cảm tạ,cam ta,感謝,kám-chhia,gamˋ qia,exact
342,训练,訓練,훈련,hun ryeon,训练,xùn liàn,train,訓練,kunren,huấn luyện,huan luyen,訓練,hiun-lien,hiun lien,exact
343,态度,態度,태도,tae do,态度,tài dù,manner,態度,taido,thái độ,thai do,態度,thai-thu,tai tu,exact
344,动作,動作,동작,dong jak,动作,dòng zuò,action,動作,dousa,động tác,dong tac,動作,thung-chok,tung zogˋ,exact
345,警察,警察,경찰,gyeong chal,警察,jǐng chá,police,警察,keisatsu,khểnh sát,khenh sat,警察,,,missing
346,观察,觀察,관찰,gwan chal,观察,guān chá,observe,観察,kansatsu,quan sát,quan sat,觀察,kôn-chhat,gonˊ cadˋ,exact
347,收入,收入,수입,su ip,收入,shōu rù,income,収入,shuunyuu,thu nhập,thu nhap,收入,sû-ngi̍p,suˊ ngib,exact
348,战略,戰略,전략,jeon ryak,战略,zhàn lüè,strategy,戦略,senryaku,chiến lược,chien luoc,戰略,,,missing
349,妇人,婦人,부인,bu in,妇人,fù rén,woman,婦人,fujin,phụ nhân,phu nhan,婦人,fu-ngìn,fu nginˇ,exact
350,保存,保存,보존,bo jon,保存,bǎo cún,save,保存,hozon,bảo tồn,bao ton,保存,pó-sùn,boˋ sunˇ,exact
351,爱情,愛情,애정,ae jeong,爱情,ài qíng,love,愛情,aijou,tình,tinh,愛情,oi-chhìn,oi qinˇ,exact
352,学院,學院,학원,hak won,学院,xué yuàn,college,学院,gakuin,học viện,hoc vien,學院,ho̍k-yen,hog ien,exact
353,规定,規定,규정,gyu jeong,规定,guī dìng,regulation,規定,kitei,qui định,qui dinh,規定,kûi-thin,guiˊ tin,exact
354,现象,現象,현상,hyeon sang,现象,xiàn xiàng,phenomenon,現象,genshou,hiện tượng,hien tuong,現象,hien-siong,hien xiong,exact
355,胜利,勝利,승리,seung ri,胜利,shèng lì,victory,勝利,shouri,thắng lợi,thang loi,勝利,sṳn-li,siin li,char_composed
356,心理,心理,심리,sim ri,心理,xīn lǐ,psychology,心理,shinri,tâm lí,tam li,心理,sîm-lî,ximˊ liˊ,exact
357,成果,成果,성과,seong gwa,成果,chéng guǒ,achievements,成果,seika,thành quả,thanh qua,成果,sṳ̀n-kó,siinˇ goˋ,exact
358,选举,選擧,선거,seon geo,选举,xuǎn jǔ,election,選挙,senkyo,tuyển,tuyen,選擧,,,missing
359,牧场,牧場,목장,mok jang,牧场,mù chǎng,pasture,牧場,bokujou,trường,truong,牧場,mu̍k-chhòng,mug congˇ,exact
360,物质,物質,물질,mul jil,物质,wù zhì,substance,物質,busshitsu,vật chất,vat chat,物質,vu̍t-chṳt,vud ziidˋ,exact
361,会议,會議,회의,hoe ui,会议,huì yì,meeting,会議,kaigi,hội nghị,hoi nghi,會議,fi-ngi,fi ngi,exact
362,支配,支配,지배,ji bae,支配,zhī pèi,dominate,支配,shihai,chi phối,chi phoi,支配,chṳ̂-phi,ziiˊ pi,exact
363,进行,進行,진행,jin haeng,进行,jìn xíng,conduct,進行,shinkou,tiến hàng,tien hang,進行,chin-hàng,jin hangˇ,exact
364,电车,電車,전차,jeon cha,电车,diàn chē,tram,電車,densha,xa,xa,電車,thien-chhâ,tien caˊ,exact
365,认识,認識,인식,in sik,认识,rèn shí,know,認識,ninshiki,nhận,nhan,認識,ngin-sṳt,ngin siidˋ,char_composed
366,发展,發展,발전,bal jeon,发展,fā zhǎn,develop,発展,hatten,phát triển,phat trien,發展,fat-chán,fadˋ zanˋ,exact
367,防止,防止,방지,bang ji,防止,fáng zhǐ,prevent,防止,boushi,phòng chỉ,phong chi,防止,,,missing
368,意志,意志,의지,ui ji,意志,yì zhì,will,意志,ishi,ý chí,y chi,意志,yi-chṳ,i zii,char_composed
369,永远,永遠,영원,yeong won,永远,yǒng yuǎn,forever,永遠,eien,vắng viễn,vang vien,永遠,(特)yún-yén,(特)iunˋ ienˋ,exact
370,项目,項目,항목,hang mok,项目,xiàng mù,project,項目,koumoku,hạng mục,hang muc,項目,hong-muk,hong mugˋ,exact
371,支持,支持,지지,ji ji,支持,zhī chí,support,支持,shiji,chi trì,chi tri,支持,chṳ̂-chhṳ̀/(又讀)kî-chhṳ̀,ziiˊ ciiˇ/(又讀)giˊ ciiˇ,exact
372,取得,取得,취득,chwi deuk,取得,qǔ dé,obtain,取得,shutoku,thủ đắc,thu dac,取得,,,missing
373,政策,政策,정책,jeong chaek,政策,zhèng cè,policy,政策,seisaku,chính sách,chinh sach,政策,chṳn-chhet,ziin cedˋ,exact
374,成立,成立,성립,seong rip,成立,chéng lì,established,成立,seiritsu,thành lập,thanh lap,成立,sṳ̀n-li̍p,siinˇ lib,exact
375,大量,大量,대량,dae ryang,大量,dà liàng,a lot,大量,tairyou,đại,dai,大量,thai-liong/(又讀2)thai-liòng,tai liong/(又讀2)tai liongˇ,exact
376,单纯,單純,단순,dan sun,单纯,dān chún,simple,単純,tanjun,đơn thuần,don thuan,單純,tân-sùn,danˊ sunˇ,exact
377,否定,否定,부정,bu jeong,否定,fǒu dìng,negative,否定,hitei,bĩ định,bi dinh,否定,féu-thin,feuˋ tin,char_composed
378,异常,異常,이상,i sang,异常,yì cháng,abnormal,異常,ijou,thường,thuong,異常,,,missing
379,温度,溫度,온도,on do,温度,wēn dù,temperature,温度,ondo,độ,do,溫度,vûn-thu,vunˊ tu,exact
380,高度,高度,고도,go do,高度,gāo dù,high,高度,koudo,cao độ,cao do,高度,kô-thu,goˊ tu,exact
381,诗人,詩人,시인,si in,诗人,shī rén,poet,詩人,shijin,thi nhân,thi nhan,詩人,sṳ̂-ngìn,siiˊ nginˇ,exact
382,发言,發言,발언,bal eon,发言,fā yán,speak,発言,hatsugen,phát ngôn,phat ngon,發言,fat-ngièn,fadˋ ngienˇ,exact
383,反射,反射,반사,ban sa,反射,fǎn shè,reflection,反射,hansha,phản xạ,phan xa,反射,fán-sa,fanˋ sa,exact
384,民族,民族,민족,min jok,民族,mín zú,nationality,民族,minzoku,dân tộc,dan toc,民族,mìn-chhu̍k,minˇ cug,exact
385,危机,危機,위기,wi gi,危机,wēi jī,crisis,危機,kiki,nguy cơ,nguy co,危機,ngùi-kî,nguiˇ giˊ,char_composed
386,兄弟,兄弟,형제,hyeong je,兄弟,xiōng dì,brother,兄弟,kyoudai,huynh đệ,huynh de,兄弟,hiûng-thi,hiungˊ ti,exact
387,修理,修理,수리,su ri,修理,xiū lǐ,repair,修理,shuuri,tu lí,tu li,修理,siû-lî,xiuˊ liˊ,exact
388,所有,所有,소유,so yu,所有,suǒ yǒu,all,所有,shoyuu,sỡ hữu,so huu,所有,só-yû,soˋ iuˊ,exact
389,进化,進化,진화,jin hwa,进化,jìn huà,evolution,進化,shinka,tiến hoá,tien hoa,進化,,,missing
390,保障,保障,보장,bo jang,保障,bǎo zhàng,assure,保障,hoshou,bảo chướng,bao chuong,保障,pó-chong,boˋ zong,exact
391,访问,訪問,방문,bang mun,访问,fǎng wèn,access,訪問,houmon,phỏng,phong,訪問,fóng-mun,fongˋ mun,exact
392,预防,豫防,예방,ye bang,预防,yù fáng,prevention,予防,yobou,phòng,phong,豫防,,,missing
