no,hanzi,kor_hanja,hangul,romanization,chinese,chinese_pinyin,japanese,japanese_romanization,vietnamese,vietnamese_romanization
311,透明,透明,투명,tu myeong,透明,tòu míng,透明,toumei,thấu minh,thau minh
312,国家,國家,국가,guk ga,国家,guó jiā,国家,kokka,quốc gia,quoc gia
313,多少,多少,다소,da so,多少,duō shǎo,多少,tashou,đa thiểu,da thieu
314,批判,批判,비판,bi pan,批判,pī pàn,批判,hihan,phê phán,phe phan
315,皮肤,皮膚,피부,pi bu,皮肤,pí fū,皮膚,hifu,bì,bi
316,优秀,優秀,우수,u su,优秀,yōu xiù,優秀,yuushuu,tú,tu
317,椅子,椅子,의자,ui ja,椅子,yǐ zi,椅子,isu,tí,ti
318,作战,作戰,작전,jak jeon,作战,zuò zhàn,作戦,sakusen,tác chiến,tac chien
319,单位,單位,단위,dan wi,单位,dān wèi,単位,tan'i,đơn vị,don vi
320,要求,要求,요구,yo gu,要求,yāo qiú,要求,youkyuu,yếu cầu,yeu cau
321,改革,改革,개혁,gae hyeok,改革,gǎi gé,改革,kaikaku,,
322,改善,改善,개선,gae seon,改善,gǎi shàn,改善,kaizen,thiện,thien
323,初期,初期,초기,cho gi,初期,chū qī,初期,shoki,sơ kì,so ki
324,水分,水分,수분,su bun,水分,shuǐ fèn,水分,suibun,thuỷ phân,thuy phan
325,天体,天體,천체,cheon che,天体,tiān tǐ,天体,tentai,thiên thể,thien the
326,秘密,秘密,비밀,bi mil,秘密,mì mì,秘密,himitsu,mật,mat
327,开放,開放,개방,gae bang,开放,kāi fàng,開放,kaihou,khai phóng,khai phong
328,学习,學習,학습,hak seup,学习,xué xí,学習,gakushuu,học tập,hoc tap
329,感情,感情,감정,gam jeong,感情,gǎn qíng,感情,kanjou,cảm tình,cam tinh
330,事情,事情,사정,sa jeong,事情,shì qíng,事情,jijou,sự tình,su tinh
331,出身,出身,출신,chul sin,出身,chū shēn,出身,shusshin,xuất thân,xuat than
332,劳动,勞動,노동,no dong,劳动,láo dòng,労働,roudou,lao động,lao dong
333,危险,危險,위험,wi heom,危险,wēi xiǎn,危険,kiken,nguy hiểm,nguy hiem
334,血液,血液,혈액,hyeol aek,血液,xuè yè,血液,ketsueki,huyết giá,huyet gia
335,一定,一定,일정,il jeong,一定,yí dìng,一定,ittei,nhất định,nhat dinh
336,细胞,細胞,세포,se po,细胞,xì bāo,細胞,saibou,tới bào,toi bao
337,原则,原則,원칙,won chik,原则,yuán zé,原則,gensoku,nguyên tắc,nguyen tac
338,习惯,習慣,습관,seup gwan,习惯,xí guàn,習慣,shuukan,tập quen,tap quen
339,地图,地圖,지도,ji do,地图,dì tú,地図,chizu,địa đồ,dia do
340,一生,一生,일생,il saeng,一生,yī shēng,一生,isshou,nhất sinh,nhat sinh
341,感谢,感謝,감사,gam sa,感谢,gǎn xiè,感謝,kansha,cảm tạ,cam ta
342,训练,訓練,훈련,hun ryeon,训练,xùn liàn,訓練,kunren,huấn luyện,huan luyen
343,态度,態度,태도,tae do,态度,tài dù,態度,taido,thái độ,thai do
344,动作,動作,동작,dong jak,动作,dòng zuò,動作,dousa,động tác,dong tac
345,警察,警察,경찰,gyeong chal,警察,jǐng chá,警察,keisatsu,khểnh sát,khenh sat
346,观察,觀察,관찰,gwan chal,观察,guān chá,観察,kansatsu,quan sát,quan sat
347,收入,收入,수입,su ip,收入,shōu rù,収入,shuunyuu,thu nhập,thu nhap
348,战略,戰略,전략,jeon ryak,战略,zhàn lüè,戦略,senryaku,chiến lược,chien luoc
349,妇人,婦人,부인,bu in,妇人,fù rén,婦人,fujin,phụ nhân,phu nhan
350,保存,保存,보존,bo jon,保存,bǎo cún,保存,hozon,bảo tồn,bao ton
351,爱情,愛情,애정,ae jeong,爱情,ài qíng,愛情,aijou,tình,tinh
352,学院,學院,학원,hak won,学院,xué yuàn,学院,gakuin,học viện,hoc vien
353,规定,規定,규정,gyu jeong,规定,guī dìng,規定,kitei,qui định,qui dinh
354,现象,現象,현상,hyeon sang,现象,xiàn xiàng,現象,genshou,hiện tượng,hien tuong
355,胜利,勝利,승리,seung ri,胜利,shèng lì,勝利,shouri,thắng lợi,thang loi
356,心理,心理,심리,sim ri,心理,xīn lǐ,心理,shinri,tâm lí,tam li
357,成果,成果,성과,seong gwa,成果,chéng guǒ,成果,seika,thành quả,thanh qua
358,选举,選擧,선거,seon geo,选举,xuǎn jǔ,選挙,senkyo,tuyển,tuyen
359,牧场,牧場,목장,mok jang,牧场,mù chǎng,牧場,bokujou,trường,truong
360,物质,物質,물질,mul jil,物质,wù zhì,物質,busshitsu,vật chất,vat chat
361,会议,會議,회의,hoe ui,会议,huì yì,会議,kaigi,hội nghị,hoi nghi
362,支配,支配,지배,ji bae,支配,zhī pèi,支配,shihai,chi phối,chi phoi
363,进行,進行,진행,jin haeng,进行,jìn xíng,進行,shinkou,tiến hàng,tien hang
364,电车,電車,전차,jeon cha,电车,diàn chē,電車,densha,xa,xa
365,认识,認識,인식,in sik,认识,rèn shí,認識,ninshiki,nhận,nhan
366,发展,發展,발전,bal jeon,发展,fā zhǎn,発展,hatten,phát triển,phat trien
367,防止,防止,방지,bang ji,防止,fáng zhǐ,防止,boushi,phòng chỉ,phong chi
368,意志,意志,의지,ui ji,意志,yì zhì,意志,ishi,ý chí,y chi
369,永远,永遠,영원,yeong won,永远,yǒng yuǎn,永遠,eien,vắng viễn,vang vien
370,项目,項目,항목,hang mok,项目,xiàng mù,項目,koumoku,hạng mục,hang muc
371,支持,支持,지지,ji ji,支持,zhī chí,支持,shiji,chi trì,chi tri
372,取得,取得,취득,chwi deuk,取得,qǔ dé,取得,shutoku,thủ đắc,thu dac
373,政策,政策,정책,jeong chaek,政策,zhèng cè,政策,seisaku,chính sách,chinh sach
374,成立,成立,성립,seong rip,成立,chéng lì,成立,seiritsu,thành lập,thanh lap
375,大量,大量,대량,dae ryang,大量,dà liàng,大量,tairyou,đại,dai
376,单纯,單純,단순,dan sun,单纯,dān chún,単純,tanjun,đơn thuần,don thuan
377,否定,否定,부정,bu jeong,否定,fǒu dìng,否定,hitei,bĩ định,bi dinh
378,异常,異常,이상,i sang,异常,yì cháng,異常,ijou,thường,thuong
379,温度,溫度,온도,on do,温度,wēn dù,温度,ondo,độ,do
380,高度,高度,고도,go do,高度,gāo dù,高度,koudo,cao độ,cao do
381,诗人,詩人,시인,si in,诗人,shī rén,詩人,shijin,thi nhân,thi nhan
382,发言,發言,발언,bal eon,发言,fā yán,発言,hatsugen,phát ngôn,phat ngon
383,反射,反射,반사,ban sa,反射,fǎn shè,反射,hansha,phản xạ,phan xa
384,民族,民族,민족,min jok,民族,mín zú,民族,minzoku,dân tộc,dan toc
385,危机,危機,위기,wi gi,危机,wēi jī,危機,kiki,nguy cơ,nguy co
386,兄弟,兄弟,형제,hyeong je,兄弟,xiōng dì,兄弟,kyoudai,huynh đệ,huynh de
387,修理,修理,수리,su ri,修理,xiū lǐ,修理,shuuri,tu lí,tu li
388,所有,所有,소유,so yu,所有,suǒ yǒu,所有,shoyuu,sỡ hữu,so huu
389,进化,進化,진화,jin hwa,进化,jìn huà,進化,shinka,tiến hoá,tien hoa
390,保障,保障,보장,bo jang,保障,bǎo zhàng,保障,hoshou,bảo chướng,bao chuong
391,访问,訪問,방문,bang mun,访问,fǎng wèn,訪問,houmon,phỏng,phong
392,预防,豫防,예방,ye bang,预防,yù fáng,予防,yobou,phòng,phong
393,未来,未來,미래,mi rae,未来,wèi lái,未来,mirai,mùi lai,mui lai
394,轨道,軌道,궤도,gwe do,轨道,guǐ dào,軌道,kidou,quẫy đạo,quay dao
395,出现,出現,출현,chul hyeon,出现,chū xiàn,出現,shutsugen,xuất hiện,xuat hien
396,制作,製作,제작,je jak,制作,zhì zuò,制作,seisaku,chế tác,che tac
397,变动,變動,변동,byeon dong,变动,biàn dòng,変動,hendou,biến động,bien dong
398,民主,民主,민주,min ju,民主,mín zhǔ,民主,minshu,dân chúa,dan chua
399,集团,集團,집단,jip dan,集团,jí tuán,集団,shuudan,tập đoàn,tap doan
400,文章,文章,문장,mun jang,文章,wén zhāng,文章,bunshou,văn chương,van chuong
401,方针,方針,방침,bang chim,方针,fāng zhēn,方針,houshin,phương châm,phuong cham
402,行政,行政,행정,haeng jeong,行政,xíng zhèng,行政,gyousei,hàng chính,hang chinh
403,普及,普及,보급,bo geup,普及,pǔ jí,普及,fukyuu,phổ cập,pho cap
404,以后,以後,이후,i hu,以后,yǐ hòu,以後,igo,hậu,hau
405,课题,課題,과제,gwa je,课题,kè tí,課題,kadai,khoá,khoa
406,兴奋,興奮,흥분,heung bun,兴奋,xīng fèn,興奮,koufun,hưng phấn,hung phan
407,信号,信號,신호,sin ho,信号,xìn hào,信号,shingou,tín hiệu,tin hieu
408,增加,增加,증가,jeung ga,增加,zēng jiā,増加,zouka,tăng gia,tang gia
409,报道,報道,보도,bo do,报道,bào dào,報道,houdou,báo đạo,bao dao
410,化学,化學,화학,hwa hak,化学,huà xué,化学,kagaku,hoá học,hoa hoc
411,外交,外交,외교,oe gyo,外交,wài jiāo,外交,gaikou,ngoại giao,ngoai giao
412,巨大,巨大,거대,geo dae,巨大,jù dà,巨大,kyodai,đại,dai
413,困难,困難,곤란,gon ran,困难,kùn nán,困難,konnan,khốn nan,khon nan
414,消化,消化,소화,so hwa,消化,xiāo huà,消化,shouka,tiêu hoá,tieu hoa
415,进步,進步,진보,jin bo,进步,jìn bù,進歩,shinpo,tiến bộ,tien bo
416,整理,整理,정리,jeong ri,整理,zhěng lǐ,整理,seiri,chỉnh lí,chinh li
417,创造,創造,창조,chang jo,创造,chuàng zào,創造,souzou,sáng tạo,sang tao
418,体力,體力,체력,che ryeok,体力,tǐ lì,体力,tairyoku,thể lực,the luc
419,地位,地位,지위,ji wi,地位,dì wèi,地位,chii,địa vị,dia vi
420,调节,調節,조절,jo jeol,调节,tiáo jié,調節,chousetsu,điều tiết,dieu tiet
421,统一,統一,통일,tong il,统一,tǒng yī,統一,touitsu,thống nhất,thong nhat
422,描写,描寫,묘사,myo sa,描写,miáo xiě,描写,byousha,miêu tả,mieu ta
423,应用,應用,응용,eung yong,应用,yìng yòng,応用,ouyou,ứng dụng,ung dung
424,革命,革命,혁명,hyeok myeong,革命,gé mìng,革命,kakumei,mệnh,menh
425,竞争,競爭,경쟁,gyeong jaeng,竞争,jìng zhēng,競争,kyousou,tranh,tranh
426,强调,强調,강조,gang jo,强调,qiáng diào,強調,kyouchou,điều,dieu
427,交流,交流,교류,gyo ryu,交流,jiāo liú,交流,kouryuu,giao lưu,giao luu
428,混合,混合,혼합,hon hap,混合,hùn hé,混合,kongou,hổn hợp,hon hop
429,实践,實踐,실천,sil cheon,实践,shí jiàn,実践,jissen,thực,thuc
430,集合,集合,집합,jip hap,集合,jí hé,集合,shuugou,tập hợp,tap hop
431,图书,圖書,도서,do seo,图书,tú shū,図書,tosho,đồ thư,do thu
432,改良,改良,개량,gae ryang,改良,gǎi liáng,改良,kairyou,lương,luong
433,供给,供給,공급,gong geup,供给,gōng jǐ,供給,kyoukyuu,cung cấp,cung cap
434,减少,減少,감소,gam so,减少,jiǎn shǎo,減少,genshou,giảm thiểu,giam thieu
435,支援,支援,지원,ji won,支援,zhī yuán,支援,shien,chi viện,chi vien
436,指示,指示,지시,ji si,指示,zhǐ shì,指示,shiji,chỉ kì,chi ki
437,手段,手段,수단,su dan,手段,shǒu duàn,手段,shudan,thủ đoạn,thu doan
438,促进,促進,촉진,chok jin,促进,cù jìn,促進,sokushin,xúc tiến,xuc tien
439,大气,大氣,대기,dae gi,大气,dà qì,大気,taiki,đại khí,dai khi
440,适当,適當,적당,jeok dang,适当,shì dàng,適当,tekitou,thích đương,thich duong
441,疲劳,疲勞,피로,pi ro,疲劳,pí láo,疲労,hirou,bì lao,bi lao
442,法律,法律,법률,beop ryul,法律,fǎ lǜ,法律,houritsu,pháp luật,phap luat
443,解放,解放,해방,hae bang,解放,jiě fàng,解放,kaihou,giải phóng,giai phong
444,强烈,强烈,강렬,gang ryeol,强烈,qiáng liè,強烈,kyouretsu,liệt,liet
445,幻想,幻想,환상,hwan sang,幻想,huàn xiǎng,幻想,gensou,ảo tưởng,ao tuong
446,呼吸,呼吸,호흡,ho heup,呼吸,hū xī,呼吸,kokyuu,hô cộp,ho cop
447,时刻,時刻,시각,si gak,时刻,shí kè,時刻,jikoku,thì khắc,thi khac
448,柔软,柔軟,유연,yu yeon,柔软,róu ruǎn,柔軟,juunan,nhu nhuyễn,nhu nhuyen
449,证据,證據,증거,jeung geo,证据,zhèng jù,証拠,shouko,chứng cớ,chung co
450,农业,農業,농업,nong eop,农业,nóng yè,農業,nougyou,nông nghiệp,nong nghiep
451,发达,發達,발달,bal dal,发达,fā dá,発達,hattatsu,phát đạt,phat dat
452,半岛,半島,반도,ban do,半岛,bàn dǎo,半島,han shima,bán đảo,ban dao
453,老人,老人,노인,no in,老人,lǎo rén,老人,roujin,lão nhân,lao nhan
454,记载,記載,기재,gi jae,记载,jì zǎi,記載,kisai,kí tải,ki tai
455,禁止,禁止,금지,geum ji,禁止,jìn zhǐ,禁止,kinshi,cấm chỉ,cam chi
456,形成,形成,형성,hyeong seong,形成,xíng chéng,形成,keisei,hình thành,hinh thanh
457,人口,人口,인구,in gu,人口,rén kǒu,人口,jinkou,nhân khẩu,nhan khau
458,人工,人工,인공,in gong,人工,rén gōng,人工,jinkou,nhân công,nhan cong
459,生物,生物,생물,saeng mul,生物,shēng wù,生物,seibutsu,sinh vật,sinh vat
460,地点,地點,지점,ji jeom,地点,dì diǎn,地点,chiten,địa điểm,dia diem
461,中间,中間,중간,jung gan,中间,zhōng jiān,中間,chuukan,trung gian,trung gian
462,破坏,破壞,파괴,pa goe,破坏,pò huài,破壊,hakai,phá hoại,pha hoai
463,博士,博士,박사,bak sa,博士,bó shì,博士,hakase,bác sĩ,bac si
464,感激,感激,감격,gam gyeok,感激,gǎn jī,感激,kangeki,cảm khích,cam khich
465,考虑,考慮,고려,go ryeo,考虑,kǎo lǜ,考慮,kouryo,khảo lự,khao lu
466,混乱,混亂,혼란,hon ran,混乱,hùn luàn,混乱,konran,hổn loạn,hon loan
467,水平,水平,수평,su pyeong,水平,shuǐ píng,水平,suihei,thuỷ bình,thuy binh
468,创立,創立,창립,chang rip,创立,chuàng lì,創立,souritsu,sáng lập,sang lap
469,帝国,帝國,제국,je guk,帝国,dì guó,帝国,teikoku,đấy quốc,day quoc
470,投入,投入,투입,tu ip,投入,tóu rù,投入,tounyuu,đầu nhập,dau nhap
471,日记,日記,일기,il gi,日记,rì jì,日記,nikki,nhật kí,nhat ki
472,有利,有利,유리,yu ri,有利,yǒu lì,有利,yuuri,hữu lợi,huu loi
473,一旦,一旦,일단,il dan,一旦,yí dàn,一旦,ittan,nhất đán,nhat dan
474,一致,一致,일치,il chi,一致,yí zhì,一致,itchi,nhất nhí,nhat nhi
475,学者,學者,학자,hak ja,学者,xué zhě,学者,gakusha,học,hoc
476,教师,敎師,교사,gyo sa,教师,jiào shī,教師,kyoushi,sư,su
477,经过,經過,경과,gyeong gwa,经过,jīng guò,経過,keika,kinh quá,kinh qua
478,原理,原理,원리,won ri,原理,yuán lǐ,原理,genri,nguyên lí,nguyen li
479,公共,公共,공공,gong gong,公共,gōng gòng,公共,koukyou,công cộng,cong cong
480,幸福,幸福,행복,haeng bok,幸福,xìng fú,幸福,koufuku,phúc,phuc
481,思考,思考,사고,sa go,思考,sī kǎo,思考,shikou,tư khảo,tu khao
482,将军,將軍,장군,jang gun,将军,jiāng jūn,将軍,shougun,tướng quân,tuong quan
483,宣传,宣傳,선전,seon jeon,宣传,xuān chuán,宣伝,senden,tuyên truyền,tuyen truyen
484,爱好,愛好,애호,ae ho,爱好,ài hào,愛好,aikou,háo,hao
485,角度,角度,각도,gak do,角度,jiǎo dù,角度,kakudo,góc độ,goc do
486,结论,結論,결론,gyeol ron,结论,jié lùn,結論,ketsuron,kết luận,ket luan
487,商人,商人,상인,sang in,商人,shāng rén,商人,shounin,thương nhân,thuong nhan
488,商店,商店,상점,sang jeom,商店,shāng diàn,商店,shouten,thương điếm,thuong diem
489,消耗,消耗,소모,so mo,消耗,xiāo hào,消耗,shoumou,tiêu hao,tieu hao
490,招待,招待,초대,cho dae,招待,zhāo dài,招待,shoutai,chiêu đãi,chieu dai
491,深刻,深刻,심각,sim gak,深刻,shēn kè,深刻,shinkoku,thâm khắc,tham khac
492,振动,振動,진동,jin dong,振动,zhèn dòng,振動,shindou,chấn động,chan dong
493,电力,電力,전력,jeon ryeok,电力,diàn lì,電力,denryoku,lực,luc
494,热心,熱心,열심,yeol sim,热心,rè xīn,熱心,nesshin,nhiệt tâm,nhiet tam
495,年代,年代,연대,yeon dae,年代,nián dài,年代,nendai,nên đại,nen dai
496,官僚,官僚,관료,gwan ryo,官僚,guān liáo,官僚,kanryou,quan liêu,quan lieu
497,光景,光景,광경,gwang gyeong,光景,guāng jǐng,光景,koukei,quang cảnh,quang canh
498,合成,合成,합성,hap seong,合成,hé chéng,合成,gousei,hợp thành,hop thanh
499,色彩,色彩,색채,saek chae,色彩,sè cǎi,色彩,shikisai,sắc thái,sac thai
500,死亡,死亡,사망,sa mang,死亡,sǐ wáng,死亡,shibou,tợ vong,to vong
501,若干,若干,약간,yak gan,若干,ruò gān,若干,jakkan,nhược can,nhuoc can
502,亲切,親切,친절,chin jeol,亲切,qīn qiè,親切,shinsetsu,thân thiết,than thiet
503,人类,人類,인류,in ryu,人类,rén lèi,人類,jinrui,nhân loại,nhan loai
504,石油,石油,석유,seok yu,石油,shí yóu,石油,sekiyu,thạch dầu,thach dau
505,鲜明,鮮明,선명,seon myeong,鲜明,xiān míng,鮮明,senmei,tiên minh,tien minh
506,体系,體系,체계,che gye,体系,tǐ xì,体系,taikei,thể hệ,the he
507,停止,停止,정지,jeong ji,停止,tíng zhǐ,停止,teishi,đình chỉ,dinh chi
508,平行,平行,평행,pyeong haeng,平行,píng xíng,平行,heikou,bình hàng,binh hang
509,贸易,貿易,무역,mu yeok,贸易,mào yì,貿易,boueki,dịch,dich
510,明确,明確,명확,myeong hwak,明确,míng què,明確,meikaku,minh xác,minh xac
511,违反,違反,위반,wi ban,违反,wéi fǎn,違反,ihan,vi phản,vi phan
512,区别,區別,구별,gu byeol,区别,qū bié,区別,kubetsu,khu biết,khu biet
513,继续,繼續,계속,gye sok,继续,jì xù,継続,keizoku,kế tục,ke tuc
514,原料,原料,원료,won ryo,原料,yuán liào,原料,genryou,nguyên liệu,nguyen lieu
515,古代,古代,고대,go dae,古代,gǔ dài,古代,kodai,cổ đại,co dai
516,顾客,顧客,고객,go gaek,顾客,gù kè,顧客,kokyaku,cố khách,co khach
517,根本,根本,근본,geun bon,根本,gēn běn,根本,konpon,căn bản,can ban
518,自治,自治,자치,ja chi,自治,zì zhì,自治,jichi,tự trị,tu tri
519,首都,首都,수도,su do,首都,shǒu dū,首都,shuto,thủ đô,thu do
520,推进,推進,추진,chu jin,推进,tuī jìn,推進,suishin,suy tiến,suy tien
521,势力,勢力,세력,se ryeok,势力,shì lì,勢力,seiryoku,thế lực,the luc
522,创作,創作,창작,chang jak,创作,chuàng zuò,創作,sousaku,sáng tác,sang tac
523,适应,適應,적응,jeok eung,适应,shì yìng,適応,tekiou,thích ứng,thich ung
524,同一,同一,동일,dong il,同一,tóng yī,同一,douitsu,đồng nhất,dong nhat
525,爆发,爆發,폭발,pok bal,爆发,bào fā,爆発,bakuhatsu,phát,phat
526,分解,分解,분해,bun hae,分解,fēn jiě,分解,bunkai,phân giải,phan giai
527,修正,修正,수정,su jeong,修正,xiū zhèng,修正,shuusei,tu chính,tu chinh
528,接触,接觸,접촉,jeop chok,接触,jiē chù,接触,sesshoku,tiếp xúc,tiep xuc
529,宣言,宣言,선언,seon eon,宣言,xuān yán,宣言,sengen,tuyên ngôn,tuyen ngon
530,大战,大戰,대전,dae jeon,大战,dà zhàn,大戦,taisen,đại chiến,dai chien
531,有力,有力,유력,yu ryeok,有力,yǒu lì,有力,yuuryoku,hữu lực,huu luc
532,开幕,開幕,개막,gae mak,开幕,kāi mù,開幕,kaimaku,khai,khai
533,觉悟,覺悟,각오,gak o,觉悟,jué wù,覚悟,kakugo,giác,giac
534,过程,過程,과정,gwa jeong,过程,guò chéng,過程,katei,quá trình,qua trinh
535,居住,居住,거주,geo ju,居住,jū zhù,居住,kyojuu,cư trú,cu tru
536,偶然,偶然,우연,u yeon,偶然,ǒu rán,偶然,guuzen,ngẫu nhiên,ngau nhien
537,地震,地震,지진,ji jin,地震,dì zhèn,地震,jishin,địa,dia
538,资本,資本,자본,ja bon,资本,zī běn,資本,shihon,bản,ban
539,政党,政黨,정당,jeong dang,政党,zhèng dǎng,政党,seitou,chính,chinh
540,对立,對立,대립,dae rip,对立,duì lì,対立,tairitsu,đỗi lập,doi lap
541,大众,大衆,대중,dae jung,大众,dà zhòng,大衆,taishuu,đại,dai
542,大地,大地,대지,dae ji,大地,dà dì,大地,daichi,đại địa,dai dia
543,通过,通過,통과,tong gwa,通过,tōng guò,通過,tsuuka,thông quá,thong qua
544,动力,動力,동력,dong ryeok,动力,dòng lì,動力,douryoku,động lực,dong luc
545,农药,農藥,농약,nong yak,农药,nóng yào,農薬,nouyaku,nông dược,nong duoc
546,犯罪,犯罪,범죄,beom joe,犯罪,fàn zuì,犯罪,hanzai,phạm tội,pham toi
547,武器,武器,무기,mu gi,武器,wǔ qì,武器,buki,vũ khí,vu khi
548,部长,部長,부장,bu jang,部长,bù zhǎng,部長,buchou,bộ trường,bo truong
549,压力,壓力,압력,ap ryeok,压力,yā lì,圧力,atsuryoku,áp lực,ap luc
550,气压,氣壓,기압,gi ap,气压,qì yā,気圧,kiatsu,khí áp,khi ap
551,结合,結合,결합,gyeol hap,结合,jié hé,結合,ketsugou,kết hợp,ket hop
552,公式,公式,공식,gong sik,公式,gōng shì,公式,koushiki,công thức,cong thuc
553,财产,財産,재산,jae san,财产,cái chǎn,財産,zaisan,tài sản,tai san
554,重大,重大,중대,jung dae,重大,zhòng dà,重大,juudai,trọng đại,trong dai
555,接近,接近,접근,jeop geun,接近,jiē jìn,接近,sekkin,tiếp cận,tiep can
556,大陆,大陸,대륙,dae ryuk,大陆,dà lù,大陸,tairiku,đại lục,dai luc
557,适合,適合,적합,jeok hap,适合,shì hé,適合,tekigou,thích hợp,thich hop
558,反映,反映,반영,ban yeong,反映,fǎn yìng,反映,han'ei,phản ánh,phan anh
559,分布,分布,분포,bun po,分布,fēn bù,分布,bunpu,phân bố,phan bo
560,卫星,衛星,위성,wi seong,卫星,wèi xīng,衛星,eisei,vệ tinh,ve tinh
561,确定,確定,확정,hwak jeong,确定,què dìng,確定,kakutei,xác định,xac dinh
562,可怜,可憐,가련,ga ryeon,可怜,kě lián,可憐,karen,khả,kha
563,气象,氣象,기상,gi sang,气象,qì xiàng,気象,kishou,khí tượng,khi tuong
564,义务,義務,의무,ui mu,义务,yì wù,義務,gimu,nghĩa vụ,nghia vu
565,形态,形態,형태,hyeong tae,形态,xíng tài,形態,keitai,hình thái,hinh thai
566,差别,差別,차별,cha byeol,差别,chā bié,差別,sabetsu,sai biết,sai biet
567,性质,性質,성질,seong jil,性质,xìng zhì,性質,seishitsu,tính chất,tinh chat
568,地形,地形,지형,ji hyeong,地形,dì xíng,地形,chikei,địa hình,dia hinh
569,动机,動機,동기,dong gi,动机,dòng jī,動機,douki,động cơ,dong co
570,东南,東南,동남,dong nam,东南,dōng nán,東南,tounan,đang nam,dang nam
571,平等,平等,평등,pyeong deung,平等,píng děng,平等,byoudou,bình đẳng,binh dang
572,勇气,勇氣,용기,yong gi,勇气,yǒng qì,勇気,yuuki,dũng khí,dung khi
573,英雄,英雄,영웅,yeong ung,英雄,yīng xióng,英雄,eiyuu,anh hùng,anh hung
574,改正,改正,개정,gae jeong,改正,gǎi zhèng,改正,kaisei,chính,chinh
575,学问,學問,학문,hak mun,学问,xué wèn,学問,gakumon,học,hoc
576,基地,基地,기지,gi ji,基地,jī dì,基地,kichi,cơ địa,co dia
577,军事,軍事,군사,gun sa,军事,jūn shì,軍事,gunji,quân sự,quan su
578,权利,權利,권리,gwon ri,权利,quán lì,権利,kenri,quyền lợi,quyen loi
579,紧急,緊急,긴급,gin geup,紧急,jǐn jí,緊急,kinkyuu,khẩn cấp,khan cap
580,个别,個別,개별,gae byeol,个别,gè bié,個別,kobetsu,cá biết,ca biet
581,行为,行爲,행위,haeng wi,行为,xíng wéi,行為,koui,hàng vay,hang vay
582,后悔,後悔,후회,hu hoe,后悔,hòu huǐ,後悔,koukai,hậu hối,hau hoi
583,皇帝,皇帝,황제,hwang je,皇帝,huáng dì,皇帝,koutei,hoàng đấy,hoang day
584,根据,根據,근거,geun geo,根据,gēn jù,根拠,konkyo,căn cớ,can co
585,食堂,食堂,식당,sik dang,食堂,shí táng,食堂,shokudou,đường,duong
586,垂直,垂直,수직,su jik,垂直,chuí zhí,垂直,suichoku,thùy,thuy
587,睡眠,睡眠,수면,su myeon,睡眠,shuì mián,睡眠,suimin,miên,mien
588,占领,占領,점령,jeom ryeong,占领,zhàn lǐng,占領,senryou,chiêm lãnh,chiem lanh
589,尊敬,尊敬,존경,jon gyeong,尊敬,zūn jìng,尊敬,sonkei,tôn kính,ton kinh
590,损害,損害,손해,son hae,损害,sǔn hài,損害,songai,tốn hại,ton hai
591,热带,熱帶,열대,yeol dae,热带,rè dài,熱帯,nettai,nhiệt đai,nhiet dai
592,无限,無限,무한,mu han,无限,wú xiàn,無限,mugen,vô hạn,vo han
593,愉快,愉快,유쾌,yu kwae,愉快,yú kuài,愉快,yukai,khoái,khoai
594,伟大,偉大,위대,wi dae,伟大,wěi dà,偉大,idai,vĩ đại,vi dai
595,一带,一帶,일대,il dae,一带,yī dài,一帯,ittai,nhất đai,nhat dai
596,解释,解釋,해석,hae seok,解释,jiě shì,解釈,kaishaku,giải thích,giai thich
597,干部,幹部,간부,gan bu,干部,gàn bù,幹部,kanbu,bộ,bo
598,气温,氣溫,기온,gi on,气温,qì wēn,気温,kion,khí,khi
599,空中,空中,공중,gong jung,空中,kōng zhōng,空中,kuuchuu,không trung,khong trung
600,抗议,抗議,항의,hang ui,抗议,kàng yì,抗議,kougi,kháng nghị,khang nghi
601,工作,工作,공작,gong jak,工作,gōng zuò,工作,kousaku,công tác,cong tac
602,昆虫,昆蟲,곤충,gon chung,昆虫,kūn chóng,昆虫,konchuu,con trùng,con trung
603,缩小,縮小,축소,chuk so,缩小,suō xiǎo,縮小,shukushou,tiểu,tieu
604,出生,出生,출생,chul saeng,出生,chū shēng,出生,shusshou,xuất sinh,xuat sinh
605,伤害,傷害,상해,sang hae,伤害,shāng hài,傷害,shougai,thương hại,thuong hai
606,消灭,消滅,소멸,so myeol,消灭,xiāo miè,消滅,shoumetsu,tiêu diệt,tieu diet
607,西部,西部,서부,seo bu,西部,xī bù,西部,seibu,tây bộ,tay bo
608,节约,節約,절약,jeol yak,节约,jié yuē,節約,setsuyaku,tiết ước,tiet uoc
609,地面,地面,지면,ji myeon,地面,dì miàn,地面,jimen,địa,dia
610,统计,統計,통계,tong gye,统计,tǒng jì,統計,toukei,thống kể,thong ke
611,到达,到達,도달,do dal,到达,dào dá,到達,toutatsu,đáo đạt,dao dat
612,读书,讀書,독서,dok seo,读书,dú shū,読書,dokusho,độc thư,doc thu
613,农村,農村,농촌,nong chon,农村,nóng cūn,農村,nouson,nông thôn,nong thon
614,不幸,不幸,불행,bul haeng,不幸,bù xìng,不幸,fukou,bất,bat
615,武装,武裝,무장,mu jang,武装,wǔ zhuāng,武装,busou,vũ trang,vu trang
616,民众,民衆,민중,min jung,民众,mín zhòng,民衆,minshuu,dân,dan
